"Cancer","0","2","4","6","8","10","12","14","16","18","Method","Age","Gender","Stratification","GenderAge","Database","CalenderYearGp"
"HeadNeckSubtypeCancerNasopharynx","120","78","48","39","34","21","15","6","<5","0","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","203","134","88","64","45","33","18","11","9","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","181","93","63","45","29","17","11","6","<5","<5","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","142","67","41","30","17","8","<5","0","0","0","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","49","8","<5","0","0","0","0","0","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","13","<5","<5","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","25","18","15","11","6","<5","<5","<5","<5","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","68","50","39","33","28","20","16","10","6","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","246","185","147","121","97","69","48","29","17","9","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","568","382","281","197","141","102","77","52","28","16","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","696","430","303","230","166","97","63","33","19","8","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","555","338","231","165","116","73","39","22","8","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","359","161","96","58","32","15","<5","<5","<5","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","67","17","<5","<5","<5","0","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOropharynx","7","6","<5","<5","<5","<5","<5","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOropharynx","50","33","26","21","16","12","10","7","<5","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOropharynx","531","386","275","196","141","111","78","45","16","8","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOropharynx","1491","905","611","416","291","189","116","64","38","10","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOropharynx","1347","744","474","308","201","119","73","36","14","6","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOropharynx","682","295","168","113","72","48","23","13","9","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOropharynx","198","64","31","20","8","<5","<5","<5","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOropharynx","34","<5","<5","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerSalivaryGland","36","20","12","9","6","<5","<5","<5","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerSalivaryGland","80","66","46","39","32","24","17","11","7","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerSalivaryGland","163","107","74","58","47","35","21","15","10","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerSalivaryGland","255","168","122","94","74","54","44","23","11","7","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerSalivaryGland","330","203","143","98","68","45","29","17","9","<5","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerSalivaryGland","381","204","131","82","64","38","20","9","6","0","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerSalivaryGland","259","105","53","32","15","8","<5","<5","<5","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerSalivaryGland","69","19","<5","<5","0","0","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerTongueIncidence","19","11","7","6","<5","<5","<5","<5","<5","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerTongueIncidence","105","63","44","37","23","14","8","7","<5","<5","Kaplan-Meier","30-39","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerTongueIncidence","448","305","237","184","139","102","66","39","21","11","Kaplan-Meier","40-49","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerTongueIncidence","1199","746","528","388","266","184","113","67","34","18","Kaplan-Meier","50-59","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerTongueIncidence","1323","738","507","334","229","139","75","45","24","12","Kaplan-Meier","60-69","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerTongueIncidence","853","416","245","152","92","59","26","12","6","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerTongueIncidence","398","161","84","43","18","<5","<5","<5","<5","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerTongueIncidence","73","18","8","<5","0","0","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","0","0","0","0","0","0","0","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","<5","<5","0","0","0","0","0","0","0","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","10","<5","<5","0","0","0","0","0","0","0","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","69","34","25","19","12","7","<5","<5","0","0","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","67","33","24","18","9","6","<5","0","0","0","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","56","27","18","13","11","6","<5","<5","0","0","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","34","6","<5","0","0","0","0","0","0","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","6","<5","<5","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","<5","<5","<5","0","0","0","0","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","7","<5","<5","<5","<5","<5","<5","<5","<5","<5","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","45","25","22","18","12","8","<5","<5","<5","0","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","180","91","62","50","38","23","16","8","<5","<5","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","306","138","86","64","44","31","19","11","6","<5","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","221","93","54","35","20","9","<5","<5","<5","0","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","68","25","12","6","<5","0","0","0","0","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerHypopharynx","7","0","0","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","7","<5","<5","<5","<5","<5","<5","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","36","29","22","16","13","8","7","6","<5","<5","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","65","46","31","22","20","13","8","6","<5","<5","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","194","127","96","74","54","40","32","23","14","7","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","303","187","134","96","65","45","30","15","7","<5","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","307","166","113","74","55","39","26","13","8","<5","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","132","50","37","20","14","7","<5","<5","0","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","27","6","<5","<5","<5","<5","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","<5","<5","<5","<5","<5","0","0","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","23","17","14","12","9","7","<5","<5","<5","0","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","221","137","103","85","62","47","32","24","13","9","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","817","561","434","330","250","183","122","78","41","19","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","1459","939","706","536","401","284","178","103","49","17","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","1236","757","506","344","239","136","72","36","18","<5","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","561","284","165","90","52","27","11","<5","0","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerLarynx","61","21","7","<5","0","0","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","0","0","0","0","0","0","0","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","<5","<5","<5","<5","<5","<5","<5","0","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","22","11","8","6","6","<5","<5","<5","0","0","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","22","14","10","6","<5","<5","<5","<5","<5","0","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","52","27","20","11","8","<5","<5","<5","<5","0","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","53","25","15","11","9","6","6","<5","0","0","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","37","10","6","0","0","0","0","0","0","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","<5","<5","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","<5","0","0","0","0","0","0","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","10","8","<5","<5","<5","<5","<5","<5","<5","<5","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","29","19","16","12","9","8","<5","<5","<5","<5","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","58","37","33","29","23","19","13","<5","<5","<5","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","77","34","23","18","17","10","7","<5","<5","0","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","68","27","19","12","8","<5","<5","<5","0","0","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","38","16","7","<5","<5","0","0","0","0","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasalCavitySinus","13","<5","<5","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","10","7","6","<5","<5","<5","<5","<5","<5","<5","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","23","11","7","<5","<5","<5","<5","0","0","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","33","25","17","12","11","9","8","<5","<5","0","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","63","42","29","22","16","11","7","<5","<5","<5","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","52","34","26","18","12","<5","<5","<5","<5","0","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","49","23","13","9","7","6","<5","0","0","0","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","22","<5","0","0","0","0","0","0","0","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","<5","<5","<5","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","9","<5","<5","<5","<5","<5","<5","<5","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","43","35","27","17","10","8","8","6","<5","<5","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","87","53","31","27","23","12","7","<5","<5","0","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","140","92","59","42","29","22","11","6","<5","0","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","129","59","37","27","17","12","7","<5","<5","<5","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","93","44","28","21","10","<5","<5","0","0","0","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","27","<5","<5","0","0","0","0","0","0","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerNasopharynx","10","<5","0","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","7","7","7","<5","<5","<5","<5","<5","<5","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","24","18","16","12","11","9","6","<5","<5","<5","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","89","65","56","49","42","30","23","16","10","6","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","202","148","109","74","55","38","30","20","10","6","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","247","160","119","98","65","41","27","14","9","<5","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","236","156","116","85","61","41","22","14","6","<5","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","199","82","50","30","18","9","<5","<5","<5","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDAurum","2000-2019"
"HeadNeckSubtypeCancerOralCavityIncidence","41","10","<5","<5","<5","0","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDAurum","2000-2019"
