"Cancer","0","2","4","6","8","10","12","14","16","18","Method","Age","Gender","Stratification","GenderAge","Database","CalenderYearGp"
"IncidentHeadNeckCancer","190","49","22","6","<5","0","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentLiverCancer","12","<5","0","0","0","0","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentLiverCancer","24","7","6","<5","0","0","0","0","0","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentLiverCancer","121","36","24","20","14","7","<5","0","0","0","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentLiverCancer","478","106","47","26","17","10","<5","<5","<5","0","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentLiverCancer","896","194","92","45","28","11","6","<5","0","0","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentLiverCancer","1093","181","81","37","12","<5","<5","0","0","0","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentLiverCancer","667","56","17","<5","0","0","0","0","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentLiverCancer","57","<5","<5","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentLungCancer","21","11","<5","<5","<5","<5","<5","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentLungCancer","107","33","15","10","8","<5","<5","<5","0","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentLungCancer","915","196","98","62","40","26","15","8","6","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentLungCancer","4091","806","406","249","158","83","48","30","12","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentLungCancer","10619","2104","1015","535","289","158","77","36","13","<5","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentLungCancer","14354","2334","958","477","266","114","50","18","<5","0","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentLungCancer","8242","865","259","104","36","11","<5","<5","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentLungCancer","1036","49","10","<5","<5","0","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentPancreaticCancer","<5","<5","0","0","0","0","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentPancreaticCancer","33","11","7","<5","<5","<5","0","0","0","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentPancreaticCancer","276","65","33","18","9","<5","<5","<5","<5","0","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentPancreaticCancer","1009","148","65","43","24","17","6","<5","0","0","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentPancreaticCancer","2232","231","92","57","38","19","12","<5","<5","0","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentPancreaticCancer","2898","216","82","47","26","21","10","<5","0","0","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentPancreaticCancer","2046","110","34","16","7","<5","<5","0","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentPancreaticCancer","377","7","<5","<5","0","0","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentProstateCancer","6","6","<5","<5","<5","<5","<5","<5","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentProstateCancer","7","<5","<5","<5","<5","<5","<5","<5","<5","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentProstateCancer","392","293","212","151","102","55","31","11","7","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentProstateCancer","5184","3935","2822","2087","1458","933","581","275","92","22","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentProstateCancer","17800","13312","9787","6894","4621","2951","1654","749","226","51","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentProstateCancer","22112","15555","10650","6986","4309","2427","1210","453","122","16","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentProstateCancer","10776","6123","3420","1778","856","348","108","27","<5","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentProstateCancer","1339","482","177","60","10","<5","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentStomachCancer","20","6","<5","<5","<5","0","0","0","0","0","Kaplan-Meier","<30","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentStomachCancer","59","17","8","7","<5","<5","<5","0","0","0","Kaplan-Meier","30-39","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentStomachCancer","211","53","29","19","13","9","7","<5","<5","<5","Kaplan-Meier","40-49","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentStomachCancer","546","153","92","59","43","32","19","14","<5","<5","Kaplan-Meier","50-59","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentStomachCancer","1229","336","196","132","96","59","36","22","7","<5","Kaplan-Meier","60-69","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentStomachCancer","2373","537","314","201","115","61","32","17","<5","<5","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentStomachCancer","1897","293","116","59","26","12","<5","0","0","0","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentStomachCancer","329","23","8","<5","0","0","0","0","0","0","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2019"
"IncidentBreastCancer","252","164","115","73","57","32","25","12","<5","<5","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2019"
"IncidentBreastCancer","2521","1871","1348","991","725","499","305","154","69","20","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2019"
"IncidentBreastCancer","10110","7936","6025","4422","3123","2072","1287","693","271","70","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2019"
"IncidentBreastCancer","18228","14257","10894","8205","5940","4059","2533","1362","536","166","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2019"
"IncidentBreastCancer","19326","14967","11359","8294","5765","3709","2098","986","370","98","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2019"
"IncidentBreastCancer","13234","9304","6567","4443","2838","1671","855","370","115","26","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2019"
"IncidentBreastCancer","8681","5024","2868","1561","808","359","139","41","8","<5","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2019"
"IncidentBreastCancer","2188","816","311","118","37","<5","<5","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2019"
"IncidentBreastCancer","<5","<5","<5","<5","<5","0","0","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2019"
"IncidentBreastCancer","8","8","7","7","<5","<5","<5","<5","0","0","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2019"
"IncidentBreastCancer","26","20","15","12","6","6","<5","<5","<5","<5","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2019"
"IncidentBreastCancer","60","40","36","23","18","14","7","<5","<5","<5","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2019"
"IncidentBreastCancer","112","87","54","39","26","20","11","7","<5","0","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2019"
"IncidentBreastCancer","145","95","64","44","26","13","6","<5","0","0","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2019"
"IncidentBreastCancer","81","53","25","16","8","<5","<5","0","0","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2019"
"IncidentBreastCancer","15","6","<5","<5","<5","0","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2019"
"IncidentColorectalCancer","63","38","24","16","11","8","<5","<5","<5","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2019"
"IncidentColorectalCancer","216","131","92","63","45","35","24","11","<5","<5","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2019"
"IncidentColorectalCancer","839","529","354","270","186","126","86","41","13","6","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2019"
"IncidentColorectalCancer","2418","1530","1029","729","515","361","212","116","56","12","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2019"
"IncidentColorectalCancer","4777","2959","2029","1422","1005","646","365","158","59","17","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2019"
"IncidentColorectalCancer","6421","3624","2463","1681","1091","641","313","133","41","11","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2019"
"IncidentColorectalCancer","5299","2266","1308","745","398","187","79","16","<5","<5","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2019"
"IncidentColorectalCancer","1105","227","108","43","19","7","<5","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2019"
"IncidentColorectalCancer","52","32","22","15","10","8","<5","<5","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2019"
"IncidentColorectalCancer","225","134","81","61","45","28","21","11","7","<5","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2019"
"IncidentColorectalCancer","896","521","352","254","186","124","76","41","18","<5","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2019"
"IncidentColorectalCancer","3188","1952","1340","943","663","433","262","139","56","17","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2019"
"IncidentColorectalCancer","7106","4345","2931","2013","1339","807","487","245","89","22","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2019"
"IncidentColorectalCancer","8857","4888","3122","2072","1293","768","389","140","48","10","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2019"
"IncidentColorectalCancer","5398","2168","1165","635","335","158","56","19","<5","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2019"
"IncidentColorectalCancer","593","116","43","17","7","<5","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2019"
"IncidentEsophagealCancer","<5","<5","<5","<5","<5","<5","<5","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2019"
"IncidentEsophagealCancer","16","6","<5","<5","<5","<5","<5","0","0","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2019"
"IncidentEsophagealCancer","101","36","19","10","7","<5","<5","<5","0","0","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2019"
"IncidentEsophagealCancer","449","123","78","52","34","21","12","7","<5","0","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2019"
"IncidentEsophagealCancer","894","249","128","80","60","39","18","<5","<5","0","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2019"
"IncidentEsophagealCancer","1300","249","137","82","49","27","12","<5","<5","0","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2019"
"IncidentEsophagealCancer","1235","119","41","14","<5","<5","0","0","0","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2019"
"IncidentEsophagealCancer","300","11","<5","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2019"
"IncidentEsophagealCancer","8","<5","<5","0","0","0","0","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2019"
"IncidentEsophagealCancer","42","10","<5","<5","<5","<5","<5","0","0","0","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2019"
"IncidentEsophagealCancer","307","79","50","38","27","19","12","<5","<5","0","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2019"
"IncidentEsophagealCancer","1309","338","165","109","67","46","25","14","6","<5","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2019"
"IncidentEsophagealCancer","2671","649","306","165","113","66","29","15","<5","<5","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2019"
"IncidentEsophagealCancer","2988","571","260","152","85","45","21","6","<5","<5","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2019"
"IncidentEsophagealCancer","1613","146","48","27","11","7","<5","0","0","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2019"
"IncidentEsophagealCancer","220","10","<5","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2019"
"IncidentHeadNeckCancer","46","32","16","11","7","<5","<5","<5","<5","<5","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2019"
"IncidentHeadNeckCancer","105","73","57","43","30","24","20","12","<5","<5","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2019"
"IncidentHeadNeckCancer","310","215","153","105","72","54","31","14","<5","<5","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2019"
"IncidentHeadNeckCancer","717","475","339","231","157","94","54","34","12","<5","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2019"
"IncidentHeadNeckCancer","887","535","363","238","170","101","61","25","11","<5","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2019"
"IncidentHeadNeckCancer","722","379","239","155","95","49","26","10","<5","<5","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2019"
"IncidentHeadNeckCancer","473","192","106","69","34","13","6","<5","0","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2019"
"IncidentHeadNeckCancer","104","28","15","<5","0","0","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2019"
"IncidentHeadNeckCancer","38","27","16","12","9","<5","<5","<5","<5","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2019"
"IncidentHeadNeckCancer","117","72","46","34","27","19","10","6","<5","<5","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2019"
"IncidentHeadNeckCancer","658","438","308","224","132","84","44","26","10","<5","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2019"
"IncidentHeadNeckCancer","1901","1180","819","574","396","251","132","66","23","<5","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2019"
"IncidentHeadNeckCancer","2365","1336","888","598","386","227","125","63","16","<5","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2019"
"IncidentHeadNeckCancer","1684","878","549","343","202","102","38","7","<5","0","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2019"
"IncidentHeadNeckCancer","669","265","141","74","35","20","8","<5","0","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2019"
"IncidentHeadNeckCancer","86","21","7","<5","<5","0","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2019"
"IncidentLiverCancer","<5","0","0","0","0","0","0","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2019"
"IncidentLiverCancer","8","<5","<5","<5","0","0","0","0","0","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2019"
"IncidentLiverCancer","34","10","9","7","6","<5","<5","0","0","0","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2019"
"IncidentLiverCancer","131","32","15","11","6","<5","<5","<5","<5","0","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2019"
"IncidentLiverCancer","224","48","26","17","11","<5","<5","0","0","0","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2019"
"IncidentLiverCancer","317","44","27","10","<5","<5","0","0","0","0","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2019"
"IncidentLiverCancer","245","14","6","0","0","0","0","0","0","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2019"
"IncidentLiverCancer","28","<5","<5","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2019"
"IncidentLiverCancer","10","<5","0","0","0","0","0","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2019"
"IncidentLiverCancer","16","<5","<5","<5","0","0","0","0","0","0","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2019"
"IncidentLiverCancer","87","26","15","13","8","<5","<5","0","0","0","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2019"
"IncidentLiverCancer","347","74","32","15","11","6","<5","0","0","0","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2019"
"IncidentLiverCancer","672","146","66","28","17","7","<5","<5","0","0","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2019"
"IncidentLiverCancer","776","137","54","27","9","<5","<5","0","0","0","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2019"
"IncidentLiverCancer","422","42","11","<5","0","0","0","0","0","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2019"
"IncidentLiverCancer","29","<5","0","0","0","0","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2019"
"IncidentLungCancer","<5","<5","0","0","0","0","0","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2019"
"IncidentLungCancer","54","22","10","7","6","<5","<5","<5","0","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2019"
"IncidentLungCancer","477","113","51","29","16","13","6","<5","<5","<5","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2019"
