"Cancer","0","1","2","3","4","Method","Age","Gender","Stratification","GenderAge","Database","CalenderYearGp"
"IncidentStomachCancer","464","116","39","12","6","Kaplan-Meier","70-79","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentStomachCancer","351","59","21","7","<5","Kaplan-Meier","80-89","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentStomachCancer","63","9","<5","<5","<5","Kaplan-Meier",">=90","Both","Age",NA,"CPRDGold","2000-2004"
"IncidentBreastCancer","44","29","18","11","<5","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2004"
"IncidentBreastCancer","638","437","279","148","68","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2004"
"IncidentBreastCancer","1964","1305","818","442","186","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2004"
"IncidentBreastCancer","4023","2797","1779","1026","424","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2004"
"IncidentBreastCancer","3297","2181","1348","777","307","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2004"
"IncidentBreastCancer","2632","1688","1027","546","214","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2004"
"IncidentBreastCancer","1793","1009","555","271","87","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2004"
"IncidentBreastCancer","471","215","92","40","12","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2004"
"IncidentBreastCancer","<5","0","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2004"
"IncidentBreastCancer","<5","<5","<5","<5","0","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2004"
"IncidentBreastCancer","<5","<5","<5","<5","<5","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2004"
"IncidentBreastCancer","13","11","<5","<5","0","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2004"
"IncidentBreastCancer","21","12","9","<5","<5","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2004"
"IncidentBreastCancer","33","22","8","<5","0","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2004"
"IncidentBreastCancer","8","<5","<5","0","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2004"
"IncidentBreastCancer","<5","<5","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2004"
"IncidentColorectalCancer","7","<5","<5","<5","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2004"
"IncidentColorectalCancer","36","22","13","<5","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2004"
"IncidentColorectalCancer","153","88","46","22","12","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2004"
"IncidentColorectalCancer","462","276","152","82","36","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2004"
"IncidentColorectalCancer","809","436","278","139","56","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2004"
"IncidentColorectalCancer","1223","637","363","197","72","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2004"
"IncidentColorectalCancer","971","417","219","100","42","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2004"
"IncidentColorectalCancer","196","54","18","7","<5","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2004"
"IncidentColorectalCancer","7","6","<5","<5","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2004"
"IncidentColorectalCancer","40","24","13","6","<5","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2004"
"IncidentColorectalCancer","150","87","50","30","8","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2004"
"IncidentColorectalCancer","630","374","200","98","47","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2004"
"IncidentColorectalCancer","1207","639","343","184","75","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2004"
"IncidentColorectalCancer","1687","879","494","251","90","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2004"
"IncidentColorectalCancer","824","334","181","81","36","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2004"
"IncidentColorectalCancer","99","27","9","<5","<5","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2004"
"IncidentEsophagealCancer","0","0","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2004"
"IncidentEsophagealCancer","<5","<5","0","0","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2004"
"IncidentEsophagealCancer","18","9","<5","0","0","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2004"
"IncidentEsophagealCancer","88","31","13","<5","<5","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2004"
"IncidentEsophagealCancer","160","48","22","10","<5","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2004"
"IncidentEsophagealCancer","263","60","22","8","<5","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2004"
"IncidentEsophagealCancer","257","41","6","<5","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2004"
"IncidentEsophagealCancer","62","<5","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2004"
"IncidentEsophagealCancer","<5","<5","<5","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2004"
"IncidentEsophagealCancer","7","<5","0","0","0","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2004"
"IncidentEsophagealCancer","68","28","10","8","<5","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2004"
"IncidentEsophagealCancer","253","82","23","11","<5","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2004"
"IncidentEsophagealCancer","443","134","47","12","<5","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2004"
"IncidentEsophagealCancer","535","142","54","21","7","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2004"
"IncidentEsophagealCancer","299","55","10","<5","<5","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2004"
"IncidentEsophagealCancer","36","<5","<5","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2004"
"IncidentHeadNeckCancer","7","<5","<5","<5","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2004"
"IncidentHeadNeckCancer","28","18","11","9","<5","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2004"
"IncidentHeadNeckCancer","57","36","20","10","<5","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2004"
"IncidentHeadNeckCancer","130","80","43","21","8","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2004"
"IncidentHeadNeckCancer","118","68","41","19","7","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2004"
"IncidentHeadNeckCancer","119","62","38","21","12","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2004"
"IncidentHeadNeckCancer","101","36","22","12","<5","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2004"
"IncidentHeadNeckCancer","17","6","<5","<5","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2004"
"IncidentHeadNeckCancer","7","6","<5","<5","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2004"
"IncidentHeadNeckCancer","23","15","6","<5","<5","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2004"
"IncidentHeadNeckCancer","108","53","31","20","<5","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2004"
"IncidentHeadNeckCancer","288","164","78","48","16","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2004"
"IncidentHeadNeckCancer","328","176","88","44","17","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2004"
"IncidentHeadNeckCancer","246","121","70","36","12","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2004"
"IncidentHeadNeckCancer","104","46","27","14","<5","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2004"
"IncidentHeadNeckCancer","13","7","<5","<5","<5","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2004"
"IncidentLiverCancer","0","0","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2004"
"IncidentLiverCancer","<5","0","0","0","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2004"
"IncidentLiverCancer","8","<5","<5","0","0","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2004"
"IncidentLiverCancer","19","<5","<5","0","0","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2004"
"IncidentLiverCancer","18","<5","<5","0","0","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2004"
"IncidentLiverCancer","27","7","<5","<5","0","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2004"
"IncidentLiverCancer","28","<5","<5","0","0","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2004"
"IncidentLiverCancer","<5","0","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2004"
"IncidentLiverCancer","<5","0","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2004"
"IncidentLiverCancer","<5","<5","0","0","0","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2004"
"IncidentLiverCancer","13","<5","<5","<5","<5","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2004"
"IncidentLiverCancer","26","6","<5","<5","<5","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2004"
"IncidentLiverCancer","70","18","7","<5","0","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2004"
"IncidentLiverCancer","69","12","<5","0","0","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2004"
"IncidentLiverCancer","38","0","0","0","0","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2004"
"IncidentLiverCancer","<5","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2004"
"IncidentLungCancer","<5","0","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2004"
"IncidentLungCancer","13","<5","<5","<5","<5","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2004"
"IncidentLungCancer","90","31","10","<5","0","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2004"
"IncidentLungCancer","346","91","44","15","<5","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2004"
"IncidentLungCancer","665","161","62","26","10","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2004"
"IncidentLungCancer","1071","214","71","37","13","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2004"
"IncidentLungCancer","528","81","30","8","<5","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2004"
"IncidentLungCancer","71","8","<5","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2004"
"IncidentLungCancer","<5","<5","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2004"
"IncidentLungCancer","11","<5","<5","0","0","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2004"
"IncidentLungCancer","92","22","9","<5","<5","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2004"
"IncidentLungCancer","464","100","34","14","8","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2004"
"IncidentLungCancer","1096","220","75","26","16","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2004"
"IncidentLungCancer","1601","300","115","41","16","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2004"
"IncidentLungCancer","752","97","20","<5","<5","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2004"
"IncidentLungCancer","71","<5","<5","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2004"
"IncidentPancreaticCancer","0","0","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2004"
"IncidentPancreaticCancer","<5","<5","0","0","0","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2004"
"IncidentPancreaticCancer","17","6","<5","<5","0","Kaplan-Meier","40-49","Female","Age*Gender","Female_40-49","CPRDGold","2000-2004"
"IncidentPancreaticCancer","71","16","6","<5","<5","Kaplan-Meier","50-59","Female","Age*Gender","Female_50-59","CPRDGold","2000-2004"
"IncidentPancreaticCancer","118","17","<5","<5","<5","Kaplan-Meier","60-69","Female","Age*Gender","Female_60-69","CPRDGold","2000-2004"
"IncidentPancreaticCancer","226","31","9","<5","0","Kaplan-Meier","70-79","Female","Age*Gender","Female_70-79","CPRDGold","2000-2004"
"IncidentPancreaticCancer","176","18","9","<5","<5","Kaplan-Meier","80-89","Female","Age*Gender","Female_80-89","CPRDGold","2000-2004"
"IncidentPancreaticCancer","36","<5","0","0","0","Kaplan-Meier",">=90","Female","Age*Gender","Female_>=90","CPRDGold","2000-2004"
"IncidentPancreaticCancer","0","0","0","0","0","Kaplan-Meier","18-29","Male","Age*Gender","Male_18-29","CPRDGold","2000-2004"
"IncidentPancreaticCancer","<5","0","0","0","0","Kaplan-Meier","30-39","Male","Age*Gender","Male_30-39","CPRDGold","2000-2004"
"IncidentPancreaticCancer","27","8","0","0","0","Kaplan-Meier","40-49","Male","Age*Gender","Male_40-49","CPRDGold","2000-2004"
"IncidentPancreaticCancer","103","18","<5","<5","<5","Kaplan-Meier","50-59","Male","Age*Gender","Male_50-59","CPRDGold","2000-2004"
"IncidentPancreaticCancer","182","23","9","<5","<5","Kaplan-Meier","60-69","Male","Age*Gender","Male_60-69","CPRDGold","2000-2004"
"IncidentPancreaticCancer","211","22","7","<5","<5","Kaplan-Meier","70-79","Male","Age*Gender","Male_70-79","CPRDGold","2000-2004"
"IncidentPancreaticCancer","129","13","<5","<5","<5","Kaplan-Meier","80-89","Male","Age*Gender","Male_80-89","CPRDGold","2000-2004"
"IncidentPancreaticCancer","12","0","0","0","0","Kaplan-Meier",">=90","Male","Age*Gender","Male_>=90","CPRDGold","2000-2004"
"IncidentStomachCancer","<5","0","0","0","0","Kaplan-Meier","18-29","Female","Age*Gender","Female_18-29","CPRDGold","2000-2004"
"IncidentStomachCancer","6","<5","<5","<5","<5","Kaplan-Meier","30-39","Female","Age*Gender","Female_30-39","CPRDGold","2000-2004"
